date,RF,Mkt-RF,SMB,HML,RMW,CMA,UMD,HML-DEVIL
202302,0.34,-2.58,0.66,-0.81,1.01,-1.33,0.15,-1.98%
202303,0.36,2.51,-6.94,-8.85,2.24,-2.37,-2.47,-8.34%
202304,0.35,0.61,-2.56,-0.04,2.42,2.86,1.62,-0.23%
202305,0.36,0.35,-0.38,-7.72,-1.81,-7.22,-0.63,-6.13%
202306,0.4,6.46,1.34,-0.26,2.18,-1.62,-2.37,0.90%
202307,0.45,3.21,2.86,4.11,-0.57,0.57,-3.98,4.39%
202308,0.45,-2.39,-3.65,-1.06,3.43,-2.37,3.77,-0.70%
202309,0.43,-5.24,-1.8,1.52,1.86,-0.83,0.26,1.57%
202310,0.47,-3.19,-4.04,0.19,2.46,-0.66,1.73,-0.27%
202311,0.44,8.84,-0.1,1.65,-3.89,-0.99,2.72,
