date,RF,Mkt-RF,SMB,HML,RMW,CMA,UMD,HML-DEVIL
198208,0.76,11.14,-4.35,0.95,-1.89,0.09,-3.52,2.29%
198209,0.51,1.29,2.61,0.28,2.14,-0.04,4.19,-0.18%
198210,0.59,11.3,1.92,-3.66,0.29,-0.34,0.18,-2.68%
198211,0.63,4.67,4.43,-1.87,-0.97,0.27,5.95,-4.35%
198212,0.67,0.55,-0.04,-0.02,-0.01,1.02,0.04,0.98%
198301,0.69,3.6,3.35,-0.75,-1.55,-0.58,-1.73,1.31%
198302,0.62,2.59,2.92,0.7,-0.52,1.05,3.77,-0.87%
198303,0.63,2.82,1.37,2.02,-0.17,2.74,0.92,1.52%
198304,0.71,6.67,0.48,0.49,-0.11,1.42,1.72,0.36%
198305,0.69,0.52,6.3,-1.4,-1.84,-1.51,-1.56,0.31%
198306,0.67,3.07,1.18,-3.9,2.6,-0.87,1.8,-3.94%
198307,0.74,-4.07,1.01,5.62,-0.14,2.81,-3.13,5.88%
198308,0.76,-0.5,-4.32,5.54,0.51,1.9,-5.65,5.27%
198309,0.76,0.91,0.3,1.01,1.24,0.5,-0.03,1.41%
198310,0.76,-3.44,-3.77,4.97,-0.77,2.96,-4.52,5.05%
198311,0.7,2.16,1.87,-0.72,-0.67,0.66,-0.13,-0.16%
198312,0.73,-1.78,-0.45,1.73,1.64,1.27,0.84,1.97%
198401,0.76,-1.92,-0.04,7.58,-0.89,2.92,-2.56,9.27%
198402,0.71,-4.82,-1.59,3.33,0.9,1.58,0.22,3.15%
198403,0.73,0.63,-0.29,0.46,-0.96,1.17,1.07,0.50%
198404,0.81,-0.51,-0.95,1.2,3.34,0.76,2.07,-0.19%
198405,0.78,-5.97,0.13,0.31,2.36,-0.46,1.51,0.42%
198406,0.75,1.82,0.11,-2.66,3.17,-1.56,-0.7,-2.84%
198407,0.82,-2.74,-2.22,0.36,3.55,-2.15,2.85,0.66%
198408,0.83,10.28,-0.26,-1.82,-0.68,-0.92,-5.59,-0.03%
198409,0.86,-0.8,-0.03,5.28,1.37,2.41,3.62,4.72%
198410,1,-0.84,-1.44,0.45,1.18,-1.09,3.16,0.42%
198411,0.73,-1.76,-1.02,4.06,0.72,2.06,1.64,3.65%
198412,0.64,1.84,-0.65,-0.26,1.31,-1.36,1.49,-0.54%
198501,0.65,7.99,3.51,-5.35,-0.89,-3.41,-6.82,-2.57%
198502,0.58,1.22,1.04,-0.1,1.29,1.06,1.88,-0.58%
198503,0.62,-0.84,-1.39,4.07,1.23,2.88,1.58,3.16%
198504,0.72,-0.96,-0.1,3.72,1.55,0.71,3.04,2.23%
198505,0.66,5.09,-2.31,-0.96,1.33,-1.49,3.99,-1.37%
198506,0.55,1.27,0.35,0.38,1.76,-0.77,3.57,-0.99%
198507,0.62,-0.74,2.87,-1.62,-0.42,-0.38,-3.91,-0.59%
198508,0.55,-1.02,-0.29,2.32,-0.1,1.83,1.85,1.77%
198509,0.6,-4.54,-1.8,1.29,1.14,1.64,1.51,0.74%
198510,0.65,4.02,-1.5,0.75,0.89,-1.06,4.88,-0.39%
198511,0.61,6.48,0.02,-2.85,0.33,-2.32,-0.47,-2.34%
198512,0.65,3.88,-0.41,-1.54,0.99,-1.8,-0.23,-1.13%
198601,0.56,0.65,1.01,0.44,-2,-2.03,3,-0.64%
198602,0.53,7.13,-0.71,-0.72,1.06,-1.2,2.76,-2.22%
198603,0.6,4.88,-0.66,-0.39,1.21,0.92,2.41,-0.65%
198604,0.52,-1.31,2.84,-2.87,2.91,0.03,-0.37,-2.97%
198605,0.49,4.62,-1.29,-0.21,2.13,1.08,2.05,-0.32%
198606,0.52,1.03,-0.89,1.28,1.8,0.87,5.07,-1.18%
198607,0.52,-6.45,-3.46,4.7,-0.54,0.84,1.83,3.36%
198608,0.46,6.07,-4.35,3.51,-1.66,3.21,-5.28,5.84%
198609,0.45,-8.6,2.05,3.22,-0.08,3.71,-5.79,5.16%
198610,0.46,4.66,-2.33,-1.42,-0.05,1,4.46,-1.44%
198611,0.39,1.17,-1.88,-0.07,1.09,0.67,-0.26,0.33%
198612,0.49,-3.27,0.12,0.36,0.79,0.09,0.35,-0.03%
198701,0.42,12.47,-1.54,-3.16,0.17,-1,2.2,-2.23%
198702,0.43,4.39,3.4,-5.91,-0.76,-2.66,-2.07,-5.07%
198703,0.47,1.64,0.28,1.61,1.36,4.14,1.68,1.78%
198704,0.44,-2.11,-1.54,-0.39,-0.49,1.05,0.22,0.57%
198705,0.38,0.11,-0.56,0.23,0.51,1.14,-0.74,1.48%
198706,0.48,3.94,-2.21,1.04,1.7,0.84,-0.25,1.13%
198707,0.46,3.85,-1.14,0.68,-0.61,1.61,2.72,-0.56%
198708,0.47,3.52,-0.94,-0.93,2.04,-1.61,-0.86,-0.55%
198709,0.45,-2.59,0.38,0.27,-0.97,1.87,0.77,-0.14%
198710,0.6,-23.24,-8.07,4.24,2.04,2.34,-7.86,8.48%
198711,0.35,-7.77,2.85,2.95,-1.88,0.68,-1.17,2.07%
198712,0.39,6.81,0.06,-4.43,2.96,-2.42,5.87,-4.28%
198801,0.29,4.21,-0.51,5.01,-1.14,2.13,-7.24,8.42%
198802,0.46,4.75,3.32,-1.71,1.56,-0.01,-1.47,-1.09%
198803,0.44,-2.27,6.25,0.73,-0.25,1.8,0.58,-0.03%
198804,0.46,0.56,1.16,1.67,-0.2,1.92,2.24,0.50%
198805,0.51,-0.29,-2.56,2.42,-0.74,0.33,0.63,2.26%
198806,0.49,4.79,2.16,-1.24,1.47,-3.37,-2.93,-0.32%
198807,0.51,-1.25,-0.21,2.22,-0.58,1.52,0.66,2.08%
198808,0.59,-3.31,-0.03,2.15,-0.82,1.76,0.35,1.63%
198809,0.62,3.3,-1.36,-0.75,1.76,-0.61,0.27,-0.81%
198810,0.61,1.15,-2.95,2.05,1.3,1.03,1.33,1.57%
198811,0.57,-2.29,-1.65,1.41,-0.28,1.62,0.33,0.94%
198812,0.63,1.49,2.01,-1.69,0.69,-0.38,0.49,-1.31%
198901,0.55,6.1,-2.31,0.6,-0.95,0.14,-0.16,0.74%
198902,0.61,-2.25,2.71,1.01,-0.87,1.81,0.99,0.77%
198903,0.67,1.57,0.68,0.58,0.05,0.72,3.51,-0.67%
198904,0.67,4.33,-0.78,-1.42,0.71,-0.57,1.77,-2.18%
198905,0.79,3.35,-0.01,-0.88,0.49,-0.08,1.52,-1.82%
198906,0.71,-1.35,-1.09,2.25,0.27,1.56,0.43,3.14%
198907,0.7,7.2,-4.15,-2.79,1.98,-0.58,5.41,-3.32%
198908,0.74,1.44,0.48,0.6,0.39,-0.58,-0.12,0.51%
198909,0.65,-0.76,0.49,-1.27,1.4,0.5,3.4,-2.10%
198910,0.68,-3.67,-3.3,-1.11,0.11,-0.04,1.32,-1.66%
198911,0.69,1.03,-1.29,-1.09,-0.86,1.41,2.6,-1.78%
198912,0.61,1.16,-2.27,0.16,-0.07,1.42,2.8,-0.48%
199001,0.57,-7.85,-1.31,0.85,-1.17,1.35,-3.27,1.65%
199002,0.57,1.11,1.17,0.64,-0.03,-0.66,-0.55,-0.89%
199003,0.64,1.83,1.62,-2.92,2.04,-1.02,1.8,-3.24%
199004,0.69,-3.36,-0.33,-2.59,1.78,-0.98,2.39,-3.59%
199005,0.68,8.42,-2.35,-3.83,1.57,-1.68,3.03,-4.35%
199006,0.63,-1.09,1.35,-1.93,-1.03,-0.39,2.4,-1.94%
199007,0.68,-1.9,-3.16,-0.03,-0.18,3.21,6.1,-0.31%
199008,0.66,-10.15,-3.87,1.64,-0.35,2.96,1.88,1.11%
199009,0.6,-6.12,-3.74,0.64,0.06,3.67,5.78,-1.64%
